city,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
mar del plata,75.0,AR,1612639142.0,64.0,-38.0023,-57.5575,21.0,7.2
mehran,90.0,IR,1612639405.0,93.0,33.1222,46.1646,6.0,1.03
taolanaro,1.0,US,1612639407.0,32.0,37.1041,-113.5841,13.33,0.28
saint george,1.0,US,1612639408.0,50.0,39.447,-86.1758,-3.33,0.78
bud,90.0,US,1612639409.0,71.0,71.2906,-156.7887,-18.0,3.6
barrow,0.0,RU,1612639126.0,78.0,71.9667,102.5,-38.12,3.08
khatanga,90.0,US,1612639411.0,71.0,44.0625,-103.1463,-15.0,1.54
rapid valley,100.0,PF,1612639212.0,73.0,-23.1203,-134.9692,25.4,5.2
rikitea,10.0,NZ,1612639413.0,84.0,-46.6,168.3333,12.05,2.06
bluff,20.0,MU,1612639415.0,83.0,-20.5167,57.5167,26.0,1.54
souillac,39.0,IN,1612639416.0,76.0,11.6667,92.75,25.88,3.57
port blair,75.0,US,1612639417.0,68.0,58.3019,-134.4197,-3.33,2.06
juneau,100.0,ZA,1612639418.0,77.0,-34.5322,20.0403,20.0,2.06
bredasdorp,36.0,PK,1612639419.0,44.0,34.7758,72.3625,8.77,2.24
mingaora,0.0,HK,1612639313.0,69.0,22.2855,114.1577,18.89,1.55
victoria,75.0,NO,1612639421.0,80.0,70.2396,22.3479,-3.0,6.17
oksfjord,90.0,BR,1612639422.0,94.0,-22.9661,-42.0278,22.0,6.69
arraial do cabo,1.0,MX,1612639423.0,57.0,18.7333,-103.6833,25.0,2.89
coahuayana,0.0,PK,1612639426.0,28.0,24.6997,70.177,16.68,2.63
mudyuga,100.0,BR,1612639427.0,74.0,-10.3353,-67.1856,27.03,1.17
islamkot,0.0,MA,1612639428.0,72.0,35.174,-2.9287,14.0,1.03
placido de castro,0.0,AU,1612639429.0,31.0,-25.2406,130.9889,24.0,4.63
nador,20.0,MU,1612639430.0,83.0,-20.4081,57.7,26.0,1.54
yulara,75.0,TO,1612639431.0,83.0,-21.2,-175.2,25.0,2.57
mahebourg,90.0,US,1612639433.0,87.0,43.3665,-124.2179,8.33,2.57
vaini,75.0,AU,1612639434.0,94.0,-28.7667,114.6,21.0,9.26
coos bay,75.0,HU,1612639435.0,93.0,46.9,21.35,6.0,3.6
geraldton,40.0,CL,1612639436.0,54.0,-53.15,-70.9167,12.0,4.63
okany,1.0,US,1612639195.0,53.0,19.7297,-155.09,22.22,1.54
punta arenas,5.0,NZ,1612639438.0,89.0,-46.2817,169.8464,11.24,1.4
hilo,100.0,GL,1612639439.0,79.0,72.7868,-56.1549,-6.96,1.86
kaitangata,75.0,US,1612639440.0,35.0,42.6001,-73.9662,3.0,6.17
upernavik,15.0,MV,1612639151.0,78.0,-0.6,73.0833,27.47,6.68
albany,20.0,JP,1612639443.0,81.0,35.7333,140.8333,4.0,2.06
